Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"LM Funding America, Inc. (NasdaqCM:LMFA)",NasdaqCM:LMFA,Financial Svcs. (Non-bank & Insurance),Financials,6159,United States,United States,United States
LMF Acquisition Opportunities Inc. (NasdaqCM:LMAO),NasdaqCM:LMAO,Investments & Asset Management,Financials,9995,United States,United States,United States
LMG Corp. (PSE:LMG),PSE:LMG,Retail (Distributors),Industrials,5160,Philippines,Emerging Markets,Small Asia
LMK Group AB (publ) (OM:LMKG),OM:LMKG,Food Processing,Consumer Staples,2090,Sweden,Developed Europe,EU & Environs
"LMP Automotive Holdings, Inc. (NasdaqCM:LMPX)",NasdaqCM:LMPX,Retail (Automotive),Consumer Discretionary,5500,United States,United States,United States
"LMS Co., Ltd. (KOSDAQ:A073110)",KOSDAQ:A073110,Semiconductor,Information Technology,3674,South Korea,Emerging Markets,Small Asia
LNA Santé SA (ENXTPA:LNA),ENXTPA:LNA,Hospitals/Healthcare Facilities,Health Care,8300,France,Developed Europe,EU & Environs
Loads Limited (KASE:LOADS),KASE:LOADS,Auto Parts,Consumer Discretionary,3714,Pakistan,Emerging Markets,Small Asia
Loadstar Capital K.K. (TSE:3482),TSE:3482,Real Estate (Operations & Services),Real Estate,6500,Japan,Japan,Japan
"loanDepot, Inc. (NYSE:LDI)",NYSE:LDI,Financial Svcs. (Non-bank & Insurance),Financials,6162,United States,United States,United States
"Loans4Less.Com, Inc. (OTCPK:LFLS)",OTCPK:LFLS,Financial Svcs. (Non-bank & Insurance),Financials,6163,United States,United States,United States
Lobe Sciences Ltd. (CNSX:LOBE),CNSX:LOBE,Real Estate (Operations & Services),Real Estate,6512,Canada,"Australia, NZ and Canada",Canada
Loblaw Companies Limited (TSX:L),TSX:L,Retail (Grocery and Food),Consumer Staples,5411,Canada,"Australia, NZ and Canada",Canada
"Lobtex Co., Ltd. (TSE:5969)",TSE:5969,Furn/Home Furnishings,Consumer Discretionary,3541,Japan,Japan,Japan
Local Bounti Corporation (NYSE:LOCL),NYSE:LOCL,Farming/Agriculture,Consumer Staples,100,United States,United States,United States
Local Corporation (OTCPK:LOCM.Q),OTCPK:LOCM.Q,Software (Entertainment),Communication Services,7370,United States,United States,United States
Locality Planning Energy Holdings Limited (ASX:LPE),ASX:LPE,Power,Utilities,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Localiza Rent a Car S.A. (BOVESPA:RENT3),BOVESPA:RENT3,Trucking,Industrials,7510,Brazil,Emerging Markets,Latin America & Caribbean
"Location Based Technologies, Inc. (OTCPK:LBAS)",OTCPK:LBAS,Electronics (Consumer & Office),Consumer Discretionary,3812,United States,United States,United States
Location Sciences Group PLC (AIM:LSAI),AIM:LSAI,Software (System & Application),Information Technology,7370,United Kingdom,Developed Europe,UK
Locaweb Serviços de Internet S.A. (BOVESPA:LWSA3),BOVESPA:LWSA3,Software (Internet),Information Technology,7370,Brazil,Emerging Markets,Latin America & Caribbean
"Lock&Lock Co., Ltd. (KOSE:A115390)",KOSE:A115390,Household Products,Consumer Discretionary,3080,South Korea,Emerging Markets,Small Asia
Lockheed Martin Corporation (NYSE:LMT),NYSE:LMT,Aerospace/Defense,Industrials,3760,United States,United States,United States
Locksley Resources Limited (ASX:LKY),ASX:LKY,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Loco Hong Kong Holdings Limited (SEHK:8162),SEHK:8162,Retail (Distributors),Industrials,5051,Hong Kong,Emerging Markets,China
"LOCONDO, Inc. (TSE:3558)",TSE:3558,Retail (Online),Consumer Discretionary,5961,Japan,Japan,Japan
Loctek Ergonomic Technology Corp. (SZSE:300729),SZSE:300729,Office Equipment & Services,Industrials,2510,China,Emerging Markets,China
Lode Resources Ltd (ASX:LDR),ASX:LDR,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Lode-Star Mining Inc. (OTCPK:LSMG),OTCPK:LSMG,Metals & Mining,Materials,1099,United States,United States,United States
Lodestar Investment Holdings Corporation (PSE:LODE),PSE:LODE,Investments & Asset Management,Financials,9995,Philippines,Emerging Markets,Small Asia
Lodestar Minerals Limited (ASX:LSR),ASX:LSR,Metals & Mining,Materials,1000,Australia,"Australia, NZ and Canada",Australia & NZ
Lodzia Rotex Investment Ltd. (TASE:LODZ),TASE:LODZ,Real Estate (Development),Real Estate,6500,Israel,Emerging Markets,Africa and Middle East
Loews Corporation (NYSE:L),NYSE:L,Insurance (Prop/Cas.),Financials,6331,United States,United States,United States
LOG Commercial Properties e Participações S.A. (BOVESPA:LOGG3),BOVESPA:LOGG3,Real Estate (Operations & Services),Real Estate,6512,Brazil,Emerging Markets,Latin America & Caribbean
Log-In Logística Intermodal S.A. (BOVESPA:LOGN3),BOVESPA:LOGN3,Shipbuilding & Marine,Industrials,4731,Brazil,Emerging Markets,Latin America & Caribbean
Logah Technology Corp. (TWSE:3593),TWSE:3593,Electronics (General),Information Technology,3679,Taiwan,Emerging Markets,Small Asia
Logan Community Financial Services Limited (NSX:LCB),NSX:LCB,Banks (Regional),Financials,6020,Australia,"Australia, NZ and Canada",Australia & NZ
Logan Group Company Limited (SEHK:3380),SEHK:3380,Real Estate (Development),Real Estate,6552,China,Emerging Markets,China
Logansport Financial Corp. (OTCPK:LOGN),OTCPK:LOGN,Banks (Regional),Financials,6035,United States,United States,United States
Logic Instrument S.A. (ENXTPA:ALLOG),ENXTPA:ALLOG,Computers/Peripherals,Information Technology,3571,France,Developed Europe,EU & Environs
"LogicBio Therapeutics, Inc. (NasdaqGM:LOGC)",NasdaqGM:LOGC,Drugs (Biotechnology),Health Care,2834,United States,United States,United States
Logicom Public Limited (CSE:LOG),CSE:LOG,Computer Services,Information Technology,7370,Cyprus,Developed Europe,EU & Environs
"Logicquest Technology, Inc. (OTCPK:LOGQ)",OTCPK:LOGQ,Telecom. Services,Communication Services,9995,United States,United States,United States
"Loginet Japan Co., Ltd. (SPSE:9027)",SPSE:9027,Transportation,Industrials,4731,Japan,Japan,Japan
